Figure Type,Scenario ID,Scenario Name,Method,Configuration,Selection Basis,Relative Path,Interpretation
3D cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,"mcs=10, ms=15",Balanced coverage-separation Pareto representative,clusters_3d\02_healthcare_revenue_50m__04_hdbscan__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 13.0% variance.
3D cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,K=2,Maximum full-sample common-space Silhouette,clusters_3d\02_healthcare_revenue_50m__01_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 13.0% variance.
3D cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,K=3,Maximum full-sample common-space Silhouette,clusters_3d\03_industrials_revenue_20m__02_agglomerative__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 9.8% variance.
3D cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,"K=4, median seed=2026",Seed closest to median common-space Silhouette,clusters_3d\03_industrials_revenue_20m__05_autoencoder_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 9.8% variance.
3D cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters_3d\03_industrials_revenue_20m__06_dec__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 9.8% variance.
3D cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters_3d\03_industrials_revenue_20m__03_gaussian_mixture__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 9.8% variance.
3D cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,"mcs=15, ms=5",Balanced coverage-separation Pareto representative,clusters_3d\03_industrials_revenue_20m__04_hdbscan__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 9.8% variance.
3D cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,K=3,Maximum full-sample common-space Silhouette,clusters_3d\03_industrials_revenue_20m__01_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 9.8% variance.
3D cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Agglomerative,K=2,Maximum full-sample common-space Silhouette,clusters_3d\05_non_financial_large_cap_revenue_1b__02_agglomerative__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.9% variance.
3D cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters_3d\05_non_financial_large_cap_revenue_1b__05_autoencoder_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.9% variance.
3D cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters_3d\05_non_financial_large_cap_revenue_1b__06_dec__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.9% variance.
3D cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters_3d\05_non_financial_large_cap_revenue_1b__03_gaussian_mixture__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.9% variance.
3D cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,"mcs=10, ms=15",Balanced coverage-separation Pareto representative,clusters_3d\05_non_financial_large_cap_revenue_1b__04_hdbscan__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.9% variance.
3D cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,K=2,Maximum full-sample common-space Silhouette,clusters_3d\05_non_financial_large_cap_revenue_1b__01_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 10.9% variance.
3D cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,K=2,Maximum full-sample common-space Silhouette,clusters_3d\01_technology_revenue_25m__02_agglomerative__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 14.2% variance.
3D cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters_3d\01_technology_revenue_25m__05_autoencoder_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 14.2% variance.
3D cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters_3d\01_technology_revenue_25m__06_dec__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 14.2% variance.
3D cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters_3d\01_technology_revenue_25m__03_gaussian_mixture__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 14.2% variance.
3D cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,"mcs=10, ms=5",Balanced coverage-separation Pareto representative,clusters_3d\01_technology_revenue_25m__04_hdbscan__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 14.2% variance.
3D cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,K=2,Maximum full-sample common-space Silhouette,clusters_3d\01_technology_revenue_25m__01_k_means__cluster_map_3d.png,Assignments projected into three common PCA components; PC3 adds 14.2% variance.
Cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,K=3,Maximum full-sample common-space Silhouette,clusters\04_consumer_cyclical_revenue_20m__02_agglomerative__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters\04_consumer_cyclical_revenue_20m__05_autoencoder_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters\04_consumer_cyclical_revenue_20m__06_dec__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters\04_consumer_cyclical_revenue_20m__03_gaussian_mixture__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,"mcs=15, ms=5",Balanced coverage-separation Pareto representative,clusters\04_consumer_cyclical_revenue_20m__04_hdbscan__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,K=3,Maximum full-sample common-space Silhouette,clusters\04_consumer_cyclical_revenue_20m__01_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,K=2,Maximum full-sample common-space Silhouette,clusters\02_healthcare_revenue_50m__02_agglomerative__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters\02_healthcare_revenue_50m__05_autoencoder_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters\02_healthcare_revenue_50m__06_dec__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters\02_healthcare_revenue_50m__03_gaussian_mixture__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,"mcs=10, ms=15",Balanced coverage-separation Pareto representative,clusters\02_healthcare_revenue_50m__04_hdbscan__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,K=2,Maximum full-sample common-space Silhouette,clusters\02_healthcare_revenue_50m__01_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,K=3,Maximum full-sample common-space Silhouette,clusters\03_industrials_revenue_20m__02_agglomerative__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,"K=4, median seed=2026",Seed closest to median common-space Silhouette,clusters\03_industrials_revenue_20m__05_autoencoder_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters\03_industrials_revenue_20m__06_dec__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters\03_industrials_revenue_20m__03_gaussian_mixture__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,"mcs=15, ms=5",Balanced coverage-separation Pareto representative,clusters\03_industrials_revenue_20m__04_hdbscan__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,K=3,Maximum full-sample common-space Silhouette,clusters\03_industrials_revenue_20m__01_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Agglomerative,K=2,Maximum full-sample common-space Silhouette,clusters\05_non_financial_large_cap_revenue_1b__02_agglomerative__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters\05_non_financial_large_cap_revenue_1b__05_autoencoder_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,clusters\05_non_financial_large_cap_revenue_1b__06_dec__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters\05_non_financial_large_cap_revenue_1b__03_gaussian_mixture__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,"mcs=10, ms=15",Balanced coverage-separation Pareto representative,clusters\05_non_financial_large_cap_revenue_1b__04_hdbscan__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,K=2,Maximum full-sample common-space Silhouette,clusters\05_non_financial_large_cap_revenue_1b__01_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,K=2,Maximum full-sample common-space Silhouette,clusters\01_technology_revenue_25m__02_agglomerative__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters\01_technology_revenue_25m__05_autoencoder_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,"K=4, median seed=456",Seed closest to median common-space Silhouette,clusters\01_technology_revenue_25m__06_dec__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,clusters\01_technology_revenue_25m__03_gaussian_mixture__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,"mcs=10, ms=5",Balanced coverage-separation Pareto representative,clusters\01_technology_revenue_25m__04_hdbscan__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cluster map,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,K=2,Maximum full-sample common-space Silhouette,clusters\01_technology_revenue_25m__01_k_means__cluster_map.png,Assignments projected into the cohort's common scaled-KPI PCA space.
Cross-cohort diagnostic,all,All five cohorts,All canonical methods,Canonical reporting registry,Common-space metric comparison,diagnostics\01_canonical_method_metrics_by_cohort.png,Common-space separation and evaluation coverage are shown separately.
Cross-cohort diagnostic,all,All five cohorts,All canonical methods,Fixed canonical configurations,Repeated 80% subsampling,diagnostics\02_fixed_configuration_assignment_stability.png,Mean pairwise ARI; neural values also include training-seed variation.
KPI profile heatmap,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Agglomerative,K=3,Maximum full-sample common-space Silhouette,heatmaps\04_consumer_cyclical_revenue_20m__02_agglomerative__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Autoencoder + K-Means,"K=4, median seed=42",Seed closest to median common-space Silhouette,heatmaps\04_consumer_cyclical_revenue_20m__05_autoencoder_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,heatmaps\04_consumer_cyclical_revenue_20m__06_dec__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,heatmaps\04_consumer_cyclical_revenue_20m__03_gaussian_mixture__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,HDBSCAN,"mcs=15, ms=5",Balanced coverage-separation Pareto representative,heatmaps\04_consumer_cyclical_revenue_20m__04_hdbscan__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,K-Means,K=3,Maximum full-sample common-space Silhouette,heatmaps\04_consumer_cyclical_revenue_20m__01_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Agglomerative,K=2,Maximum full-sample common-space Silhouette,heatmaps\02_healthcare_revenue_50m__02_agglomerative__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Autoencoder + K-Means,"K=4, median seed=456",Seed closest to median common-space Silhouette,heatmaps\02_healthcare_revenue_50m__05_autoencoder_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,heatmaps\02_healthcare_revenue_50m__06_dec__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,heatmaps\02_healthcare_revenue_50m__03_gaussian_mixture__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,HDBSCAN,"mcs=10, ms=15",Balanced coverage-separation Pareto representative,heatmaps\02_healthcare_revenue_50m__04_hdbscan__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,K=2,Maximum full-sample common-space Silhouette,heatmaps\02_healthcare_revenue_50m__01_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,industrials_revenue_20m,Industrials companies with revenue >= $20M,Agglomerative,K=3,Maximum full-sample common-space Silhouette,heatmaps\03_industrials_revenue_20m__02_agglomerative__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,industrials_revenue_20m,Industrials companies with revenue >= $20M,Autoencoder + K-Means,"K=4, median seed=2026",Seed closest to median common-space Silhouette,heatmaps\03_industrials_revenue_20m__05_autoencoder_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,industrials_revenue_20m,Industrials companies with revenue >= $20M,DEC,"K=4, median seed=456",Seed closest to median common-space Silhouette,heatmaps\03_industrials_revenue_20m__06_dec__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,industrials_revenue_20m,Industrials companies with revenue >= $20M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,heatmaps\03_industrials_revenue_20m__03_gaussian_mixture__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,industrials_revenue_20m,Industrials companies with revenue >= $20M,HDBSCAN,"mcs=15, ms=5",Balanced coverage-separation Pareto representative,heatmaps\03_industrials_revenue_20m__04_hdbscan__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,industrials_revenue_20m,Industrials companies with revenue >= $20M,K-Means,K=3,Maximum full-sample common-space Silhouette,heatmaps\03_industrials_revenue_20m__01_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Agglomerative,K=2,Maximum full-sample common-space Silhouette,heatmaps\05_non_financial_large_cap_revenue_1b__02_agglomerative__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Autoencoder + K-Means,"K=4, median seed=42",Seed closest to median common-space Silhouette,heatmaps\05_non_financial_large_cap_revenue_1b__05_autoencoder_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,DEC,"K=4, median seed=42",Seed closest to median common-space Silhouette,heatmaps\05_non_financial_large_cap_revenue_1b__06_dec__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,heatmaps\05_non_financial_large_cap_revenue_1b__03_gaussian_mixture__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,HDBSCAN,"mcs=10, ms=15",Balanced coverage-separation Pareto representative,heatmaps\05_non_financial_large_cap_revenue_1b__04_hdbscan__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,K-Means,K=2,Maximum full-sample common-space Silhouette,heatmaps\05_non_financial_large_cap_revenue_1b__01_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,technology_revenue_25m,Technology companies with revenue >= $25M,Agglomerative,K=2,Maximum full-sample common-space Silhouette,heatmaps\01_technology_revenue_25m__02_agglomerative__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,technology_revenue_25m,Technology companies with revenue >= $25M,Autoencoder + K-Means,"K=4, median seed=456",Seed closest to median common-space Silhouette,heatmaps\01_technology_revenue_25m__05_autoencoder_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,technology_revenue_25m,Technology companies with revenue >= $25M,DEC,"K=4, median seed=456",Seed closest to median common-space Silhouette,heatmaps\01_technology_revenue_25m__06_dec__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,technology_revenue_25m,Technology companies with revenue >= $25M,Gaussian Mixture,K=2,Maximum full-sample common-space Silhouette,heatmaps\01_technology_revenue_25m__03_gaussian_mixture__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,technology_revenue_25m,Technology companies with revenue >= $25M,HDBSCAN,"mcs=10, ms=5",Balanced coverage-separation Pareto representative,heatmaps\01_technology_revenue_25m__04_hdbscan__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
KPI profile heatmap,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,K=2,Maximum full-sample common-space Silhouette,heatmaps\01_technology_revenue_25m__01_k_means__kpi_profile_heatmap.png,Non-noise cluster medians in robust-scaled canonical KPI space.
Six-method cohort panel,consumer_cyclical_revenue_20m,Consumer Cyclical companies with revenue >= $20M,All canonical methods,See panel subtitles,Canonical reporting registry,cohort_panels\04_consumer_cyclical_revenue_20m__all_methods_comparison.png,All methods shown on identical coordinates within the cohort.
Six-method cohort panel,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,All canonical methods,See panel subtitles,Canonical reporting registry,cohort_panels\02_healthcare_revenue_50m__all_methods_comparison.png,All methods shown on identical coordinates within the cohort.
Six-method cohort panel,industrials_revenue_20m,Industrials companies with revenue >= $20M,All canonical methods,See panel subtitles,Canonical reporting registry,cohort_panels\03_industrials_revenue_20m__all_methods_comparison.png,All methods shown on identical coordinates within the cohort.
Six-method cohort panel,non_financial_large_cap_revenue_1b,Non-financial companies with revenue >= $1B,All canonical methods,See panel subtitles,Canonical reporting registry,cohort_panels\05_non_financial_large_cap_revenue_1b__all_methods_comparison.png,All methods shown on identical coordinates within the cohort.
Six-method cohort panel,technology_revenue_25m,Technology companies with revenue >= $25M,All canonical methods,See panel subtitles,Canonical reporting registry,cohort_panels\01_technology_revenue_25m__all_methods_comparison.png,All methods shown on identical coordinates within the cohort.
SHAP — Cluster-specific global SHAP importance,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\01_technology_revenue_25m__global_cluster_importance.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\01_technology_revenue_25m__cluster_0__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,technology_revenue_25m,Technology companies with revenue >= $25M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\01_technology_revenue_25m__cluster_1__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster-specific global SHAP importance,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\02_healthcare_revenue_50m__global_cluster_importance.png,"KPI contributions explain assignment margin, not cluster validity."
SHAP — Cluster SHAP beeswarm,healthcare_revenue_50m,Healthcare companies with revenue >= $50M,K-Means,Canonical K-Means,Direct nearest-rival distance-margin explanation,shap_kmeans\02_healthcare_revenue_50m__cluster_0__beeswarm.png,"KPI contributions explain assignment margin, not cluster validity."
